,dt,Bonete_level,Manuel_Díaz_level,Cuñapirú_level,Mazangano_level,Coelho_level,Paso_de_las_Toscas_level,Aguiar_level,Laguna_I_level,Laguna_II_level,Pereira_level,San_Gregorio_level,Paso_de_los_Toros_level,Salsipuedes_level,Sarandi_del_Yi_level,Durazno_level,Polanco_level,Lugo_level,Mercedes_level,Villa_Soriano_level,dt,Bonete_precipitation,Manuel_Diaz_precipitation,Cuñapirú_precipitation,Mazagano_precipitation,Coelho_precipitation,Paso_de_las_Toscas_precipitation,Aguiar_precipitation,Laguna_I_precipitation,Laguna_II_precipitation,Pereira_precipitation,San_Gregorio_precipitation,Paso_de_los_toros_precipitation,Salsipuedes_precipitation,Sarandi_del_Yi_precipitation,Polanco_precipitation,Durazno_precipitation,Paso_de_Lugo_precipitation,Mercedes_precipitation,Villa_Soriano_precipitation
0,01/01/2015 07:00,80.74,5.83,2.36,4.25,3.05,0.89,4.45,4.96,5.08,4.035,10.93,8.07,1.98,1.3975,0.36,2.7975,2.04,1.85,1.75,2015-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,02/01/2015 07:00,80.71,5.4,2.43,4.06,3.21,0.86,4.53,4.81,5.02,4.035,10.98,8.0,1.92,1.3975,0.31,2.7975,1.66,1.85,1.8,2015-01-02 07:00:00,21.0,20.0,20.0,20.0,18.0,24.0,13.0,5.0,10.0,20.0,18.0,17.0,5.0,10.0,10.0,1.0,11.0,8.0,3.0
2,03/01/2015 07:00,80.75,4.75,2.4,3.87,3.19,0.82,4.5,4.8,4.98,4.1225000000000005,10.97,7.9,1.83,1.2425,0.33,2.5324999999999998,1.53,2.2,2.16,2015-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,04/01/2015 07:00,80.75,4.19,2.06,3.99,3.14,0.77,4.38,4.81,4.99,4.07,10.96,7.85,1.81,1.2149999999999999,0.31,2.4575,1.47,1.58,1.85,2015-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,05/01/2015 07:00,80.78,3.68,1.9,4.23,3.46,0.8,4.34,4.81,4.98,3.4400000000000004,10.97,7.78,1.92,1.13,0.36,2.435,1.43,1.85,2.12,2015-01-05 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,06/01/2015 07:00,80.75,3.3,2.03,4.33,3.81,1.07,4.44,4.8,4.97,3.4400000000000004,10.95,8.02,1.89,1.1425,0.4,2.2024999999999997,1.41,1.67,1.89,2015-01-06 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,07/01/2015 07:00,80.84,3.28,2.35,4.32,4.27,1.45,4.67,5.01,5.25,4.3925,11.08,8.0,2.72,2.3524999999999996,3.02,4.27,3.86,2.2,2.0,2015-01-07 07:00:00,33.0,38.0,38.0,59.0,48.0,45.0,66.0,65.0,95.0,78.0,95.0,15.0,60.0,52.0,46.0,116.0,112.0,90.0,58.0
7,08/01/2015 07:00,80.86,3.84,2.72,4.28,4.67,1.51,4.77,5.37,5.4,4.085,11.08,8.05,2.45,1.6424999999999998,2.18,3.4375,2.85,2.75,2.35,2015-01-08 07:00:00,0.0,15.0,20.0,7.0,5.0,5.0,4.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,09/01/2015 07:00,80.86,4.4,2.68,4.22,4.76,1.48,4.83,5.23,5.35,4.11,11.1,8.05,1.81,1.31,1.57,3.34,2.52,2.92,2.45,2015-01-09 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0
9,10/01/2015 07:00,80.86,4.97,2.11,4.11,4.72,1.55,4.84,5.09,5.36,4.11,11.1,8.01,1.93,1.31,1.86,3.34,2.65,3.1,2.42,2015-01-10 07:00:00,4.0,2.0,5.0,5.0,0.0,0.0,14.0,10.0,16.0,10.0,25.0,3.0,5.0,11.0,15.0,11.0,15.0,12.0,2.0
